MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
	Liander N.V. (NW)	Prins Hendrikkade	1011AK	1011AK	ELK	KVB	14	100	71,43	50	3x25	9286	28,57	14,29	1
Liander N.V.	Liander N.V. (NW)	Houtkopersdwarsstraat	1011AL	1011AM	ELK	KVB	15	100	86,67	40	3x25	11436	66,67	53,33	1,4
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AM	1011AN	GAS	KVB	29	100	93,1	83	G4	2394	0	55,17	
	Liander N.V. (NW)	Prins Hendrikkade	1011AN	1011AN	ELK	KVB	29	100	86,21	38	1x35	2344	48,28	41,38	1,3
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AP	1011AP	ELK	KVB	20	100	70	50	1x35	6250	55	45	1
	GAS Liander	Prins Hendrikkade	1011AP	1011AP	GAS	KVB	19	100	73,68	89	G4	3272	0	47,37	
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AR	1011AR	ELK	KVB	31	100	90,32	45	1x35	7650	25,81	16,13	1,7
	GAS Liander	Prins Hendrikkade	1011AR	1011AR	GAS	KVB	19	100	100	63	G4	2142	0	26,32	
	Liander N.V. (NW)	Prins Hendrikkade	1011AS	1011AS	ELK	KVB	12	100	83,33	42	3x25	5856	50	33,33	1,3
	GAS Liander	Prins Hendrikkade	1011AS	1011AV	GAS	KVB	20	100	100	65	G4	4695	0	40	
	Liander N.V. (NW)	Prins Hendrikkade	1011AT	1011AT	ELK	KVB	11	100	90,91	36	1x35	7211	27,27	0	1,5
	Liander N.V. (NW)	Prins Hendrikkade	1011AV	1011AV	ELK	KVB	18	100	83,33	44	3x25	4087	55,56	44,44	1,1
	GAS Liander	Prins Hendrikkade	1011AW	1011AW	GAS	KVB	13	100	100	92	G4	1262	0	7,69	
	Liander N.V. (NW)	Prins Hendrikkade	1011AW	1011AW	ELK	KVB	21	100	95,24	48	1x35	2667	23,81	4,76	1,4
	GAS Liander	Buiten Bantammerstraat	1011AX	1011AX	GAS	KVB	14	100	92,86	93	G4	2297	0	71,43	
Liander N.V.	Liander N.V. (NW)	Buiten Bantammerstraat	1011AX	1011AX	ELK	KVB	17	100	82,35	59	3x25	3719	70,59	64,71	1
	Liander N.V. (NW)	Schippersstraat	1011AZ	1011AZ	ELK	KVB	30	100	76,67	53	1x35	2862	100	73,33	2
	GAS Liander	Schippersstraat	1011AZ	1011AZ	GAS	KVB	30	100	73,33	93	G4	1342	0	66,67	
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BA	1011BA	ELK	KVB	19	94,74	36,84	63	3x25	2139	57,89	31,58	1
Liander N.V.	GAS Liander	Schippersstraat	1011BA	1011BA	GAS	KVB	15	100	40	87	G4	1025	0	33,33	
Liander N.V.	GAS Liander	Schippersstraat	1011BB	1011BC	GAS	KVB	22	100	90,91	91	G4	2264	0	40,91	
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BB	1011BC	ELK	KVB	24	100	95,83	63	1x35	4654	45,83	37,5	1,4
