POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011VC	1011VK	ELK	96,55	2201	CENTRUM
1011VL	1011VL	GAS	100	2068	CENTRUM
1011VM	1011VM	ELK	100	5066	CENTRUM
1011VM	1011VM	GAS	100	2435	CENTRUM
1011VP	1011VP	GAS	100	1210	CENTRUM
1011VP	1011VP	ELK	100	1699	CENTRUM
1011VR	1011VR	GAS	100	612	CENTRUM
1011VR	1011VR	ELK	100	1353	CENTRUM
1011VS	1011VS	GAS	100	974	CENTRUM
1011VS	1011VS	ELK	100	2166	CENTRUM
1011VX	1011WB	GAS	100	2897	CENTRUM
1011WC	1011WC	ELK	100	2287	CENTRUM
1011WC	1011WC	GAS	100	984	CENTRUM
1011WD	1011WD	GAS	100	1046	CENTRUM
1011WD	1011WD	ELK	100	1801	CENTRUM
1011XA	1011XA	GAS	100	1219	CENTRUM
1011XA	1011XA	ELK	100	1771	CENTRUM
1012AA	1012AE	GAS	100	4477	CENTRUM
1012AB	1012AB	ELK	100	2911	CENTRUM
1012AD	1012AD	ELK	100	4107	CENTRUM
1012AG	1012AK	GAS	100	1528	CENTRUM
1012AJ	1012AJ	ELK	100	3778	CENTRUM
1012AL	1012AL	GAS	100	2206	CENTRUM
1012AM	1012AR	GAS	100	1556	CENTRUM
1012AS	1012AS	GAS	100	1801	CENTRUM
1012AT	1012AT	GAS	100	2400	CENTRUM
1012AW	1012AW	GAS	100	2310	CENTRUM
1012AX	1012AX	GAS	100	1775	CENTRUM
1012AZ	1012AZ	GAS	100	1281	CENTRUM
1012AZ	1012AZ	ELK	100	5145	CENTRUM
1012BA	1012BA	GAS	100	2087	CENTRUM
1012BB	1012BB	GAS	100	4978	CENTRUM
1012BC	1012BC	GAS	100	1684	CENTRUM
1012BD	1012BD	GAS	100	943	CENTRUM
1012BD	1012BD	ELK	100	4341	CENTRUM
1012BE	1012BG	GAS	100	1529	CENTRUM
1012BE	1012BG	ELK	100	3449	CENTRUM
1012BH	1012BH	GAS	100	2433	CENTRUM
1012BH	1012BH	ELK	100	4723	CENTRUM
1012BJ	1012BJ	ELK	100	3596	CENTRUM
1012BJ	1012BJ	GAS	100	1806	CENTRUM
1012BK	1012BK	GAS	100	1297	CENTRUM
1012BK	1012BK	ELK	100	2893	CENTRUM
1012BL	1012BL	ELK	100	2534	CENTRUM
1012BL	1012BL	GAS	100	2061	CENTRUM
1012BM	1012BM	GAS	100	1387	CENTRUM
1012BN	1012BN	ELK	100	4686	CENTRUM
1012BN	1012BN	GAS	100	1339	CENTRUM
1012BP	1012BP	ELK	100	4761	CENTRUM
1012BP	1012BP	GAS	100	2425	CENTRUM
1012BR	1012BS	GAS	100	1138	CENTRUM
1012BR	1012BS	ELK	100	3981	CENTRUM
1012BT	1012BT	GAS	100	521	CENTRUM
1012BT	1012BT	ELK	100	1921	CENTRUM
1012BV	1012BV	GAS	100	3233	CENTRUM
1012BW	1012BW	GAS	100	1218	CENTRUM
1012BW	1012BW	ELK	100	1936	CENTRUM
1012BX	1012BX	ELK	100	1894	CENTRUM
1012BX	1012BX	GAS	100	1372	CENTRUM
1012BZ	1012BZ	ELK	100	1942	CENTRUM
1012BZ	1012BZ	GAS	100	1336	CENTRUM
1012CA	1012CA	GAS	100	1214	CENTRUM
1012CA	1012CA	ELK	100	2624	CENTRUM
1012CB	1012CB	ELK	100	3134	CENTRUM
1012CB	1012CB	GAS	100	1228	CENTRUM
1012CC	1012CD	GAS	100	1740	CENTRUM
1012CE	1012CE	GAS	100	1980	CENTRUM
1012CH	1012CJ	ELK	100	2069	CENTRUM
1012CH	1012CJ	GAS	100	1364	CENTRUM
1012CK	1012CK	GAS	100	1237	CENTRUM
1012CK	1012CK	ELK	100	2020	CENTRUM
1012CL	1012CL	GAS	100	1663	CENTRUM
1012CL	1012CL	ELK	100	5096	CENTRUM
1012CM	1012CN	ELK	100	2416	CENTRUM
1012CS	1012CS	GAS	100	1867	CENTRUM
1012CT	1012CT	GAS	100	1868	CENTRUM
1012CV	1012CV	GAS	100	1330	CENTRUM
1012CW	1012CW	GAS	100	2415	CENTRUM
1012CX	1012CX	GAS	100	1818	CENTRUM
1012CZ	1012CZ	ELK	100	4176	CENTRUM
1012CZ	1012CZ	GAS	100	1518	CENTRUM
1012DA	1012DA	GAS	100	2403	CENTRUM
1012DB	1012DB	GAS	100	4111	CENTRUM
1012DC	1012DC	GAS	100	3224	CENTRUM
1012DD	1012DD	GAS	100	3915	CENTRUM
1012DE	1012DE	GAS	100	1770	CENTRUM
1012DG	1012DG	ELK	100	4700	CENTRUM
1012DG	1012DG	GAS	100	1555	CENTRUM
1012DH	1012DH	ELK	100	1483	CENTRUM
1012DH	1012DH	GAS	100	1229	CENTRUM
1012DJ	1012DJ	GAS	100	1807	CENTRUM
1012DJ	1012DJ	ELK	100	4177	CENTRUM
1012DK	1012DK	ELK	100	3225	CENTRUM
1012DK	1012DK	GAS	100	1118	CENTRUM
1012DL	1012DL	ELK	100	2339	CENTRUM
1012DL	1012DM	GAS	100	1995	CENTRUM
1012DN	1012DN	GAS	100	1896	CENTRUM
1012DP	1012DP	GAS	100	2019	CENTRUM
1012DR	1012DR	GAS	100	1560	CENTRUM
1012DS	1012DS	GAS	100	2421	CENTRUM
1012DT	1012DT	GAS	100	3811	CENTRUM
1012DV	1012DV	ELK	100	4388	CENTRUM
1012DV	1012DV	GAS	100	1666	CENTRUM
1012DW	1012DW	ELK	100	3264	CENTRUM
1012DW	1012DW	GAS	100	2932	CENTRUM
1012DX	1012DX	ELK	100	2985	CENTRUM
1012DX	1012DX	GAS	100	1747	CENTRUM
1012DZ	1012EA	GAS	100	3472	CENTRUM
1012EB	1012EB	ELK	100	4920	CENTRUM
1012EB	1012EB	GAS	100	2467	CENTRUM
1012EC	1012EC	GAS	100	2528	CENTRUM
1012EE	1012EG	ELK	100	2184	CENTRUM
1012EE	1012EH	GAS	100	1584	CENTRUM
1012EJ	1012EJ	GAS	100	3016	CENTRUM
1012EK	1012EK	GAS	100	1408	CENTRUM
1012EL	1012EL	GAS	100	4319	CENTRUM
1012EM	1012EM	ELK	100	4082	CENTRUM
1012EM	1012EM	GAS	100	1776	CENTRUM
1012EN	1012EN	ELK	100	3864	CENTRUM
1012EN	1012EN	GAS	100	1896	CENTRUM
1012EP	1012EP	GAS	100	2187	CENTRUM
1012EP	1012EP	ELK	100	5106	CENTRUM
1012ER	1012ER	ELK	86,67	2730	CENTRUM
1012ER	1012ER	GAS	100	1908	CENTRUM
1012ES	1012ES	GAS	100	1573	CENTRUM
1012ES	1012ES	ELK	100	4148	CENTRUM
1012ET	1012ET	GAS	100	2633	CENTRUM
1012EV	1012EV	ELK	100	3673	CENTRUM
1012EV	1012EW	GAS	100	1507	CENTRUM
1012EX	1012EX	ELK	100	3901	CENTRUM
1012EX	1012EX	GAS	100	2726	CENTRUM
1012GA	1012GA	GAS	100	1792	CENTRUM
1012GA	1012GA	ELK	100	5027	CENTRUM
1012GB	1012GB	GAS	100	1985	CENTRUM
1012GC	1012GD	GAS	100	2019	CENTRUM
1012GE	1012GE	GAS	100	2854	CENTRUM
1012GG	1012GH	GAS	100	1626	CENTRUM
1012GH	1012GH	ELK	100	4834	CENTRUM
1012GJ	1012GJ	GAS	100	2051	CENTRUM
1012GK	1012GK	GAS	100	1201	CENTRUM
1012GL	1012GL	GAS	100	3557	CENTRUM
1012GL	1012GL	ELK	100	4111	CENTRUM
1012GM	1012GM	ELK	100	4437	CENTRUM
1012GM	1012GM	GAS	100	2585	CENTRUM
1012GN	1012GP	GAS	100	1936	CENTRUM
1012GR	1012GR	GAS	100	1205	CENTRUM
1012GR	1012GR	ELK	100	2880	CENTRUM
1012GS	1012GS	GAS	100	3006	CENTRUM
1012GT	1012GT	GAS	100	2886	CENTRUM
1012GV	1012GW	GAS	100	2371	CENTRUM
1012GV	1012GW	ELK	100	3937	CENTRUM
1012GX	1012GX	ELK	100	2641	CENTRUM
1012GX	1012GZ	GAS	100	2107	CENTRUM
1012GZ	1012GZ	ELK	100	4475	CENTRUM
1012HA	1012HA	GAS	100	1899	CENTRUM
1012HB	1012HC	GAS	100	2411	CENTRUM
1012HD	1012HE	GAS	100	1241	CENTRUM
1012HD	1012HE	ELK	100	2535	CENTRUM
1012HG	1012HG	ELK	100	2619	CENTRUM
1012HG	1012HG	GAS	100	1863	CENTRUM
1012HH	1012HH	GAS	100	1752	CENTRUM
1012HH	1012HH	ELK	100	4281	CENTRUM
1012HJ	1012HJ	ELK	100	2452	CENTRUM
1012HJ	1012HJ	GAS	100	1345	CENTRUM
1012HK	1012HL	GAS	100	1176	CENTRUM
1012HK	1012HL	ELK	100	3523	CENTRUM
1012HM	1012HM	GAS	100	2125	CENTRUM
1012HV	1012HW	GAS	100	3083	CENTRUM
