MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
	Liander N.V. (NW)	Oostzaanstraat	1013WS	1013WS	AMSTERDAM	ELK	KVB	24	100.0	100.0	50	1x25	2671	4.17	4.17	1.0
	GAS Liander	Oostzaanstraat	1013WS	1013WS	AMSTERDAM	GAS	KVB	23	100.0	100.0	100	G4	1679	0.0	0.0	
	Liander N.V. (NW)	Koogstraat	1013WT	1013WT	AMSTERDAM	ELK	KVB	22	100.0	100.0	55	1x25	1455	9.09	4.55	1.0
	GAS Liander	Koogstraat	1013WT	1013WT	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	932	0.0	4.55	
Liander N.V.	GAS Liander	Hembrugstraat	1013WV	1013WV	AMSTERDAM	GAS	KVB	51	100.0	98.04	96	G4	906	0.0	11.76	
Liander N.V.	Liander N.V. (NW)	Hembrugstraat	1013WV	1013WV	AMSTERDAM	ELK	KVB	58	100.0	94.83	50	1x25	2931	18.97	13.79	1.0
	GAS Liander	Hembrugstraat	1013WZ	1013XA	AMSTERDAM	GAS	KVB	18	100.0	100.0	100	G4	1286	0.0	0.0	
	Liander N.V. (NW)	Hembrugstraat	1013WZ	1013XA	AMSTERDAM	ELK	KVB	18	100.0	100.0	61	1x25	2085	0.0	0.0	1.0
	Liander N.V. (NW)	Hembrugstraat	1013XB	1013XB	AMSTERDAM	ELK	KVB	18	100.0	100.0	78	1x25	1335	11.11	5.56	1.1
	GAS Liander	Hembrugstraat	1013XB	1013XB	AMSTERDAM	GAS	KVB	16	100.0	100.0	100	G4	1045	0.0	6.25	
	Liander N.V. (NW)	Hembrugstraat	1013XC	1013XC	AMSTERDAM	ELK	KVB	74	100.0	95.95	82	1x25	3378	9.46	9.46	1.0
	GAS Liander	Hembrugstraat	1013XC	1013XC	AMSTERDAM	GAS	KVB	63	100.0	100.0	100	G4	775	0.0	11.11	
	Liander N.V. (NW)	Hembrugstraat	1013XD	1013XD	AMSTERDAM	ELK	KVB	94	100.0	74.47	65	1x35	2612	9.57	6.38	1.0
	GAS Liander	Hembrugstraat	1013XD	1013XD	AMSTERDAM	GAS	KVB	88	100.0	73.86	93	G4	1346	0.0	3.41	
	Liander N.V. (NW)	Hembrugstraat	1013XE	1013XE	AMSTERDAM	ELK	KVB	69	100.0	72.46	52	1x25	1975	8.7	7.25	1.0
	GAS Liander	Hembrugstraat	1013XE	1013XE	AMSTERDAM	GAS	KVB	64	100.0	73.44	100	G4	936	0.0	7.81	
	Liander N.V. (NW)	Hembrugstraat	1013XG	1013XG	AMSTERDAM	ELK	KVB	38	100.0	50.0	50	1x35	1624	0.0	0.0	1.0
	GAS Liander	Hembrugstraat	1013XG	1013XG	AMSTERDAM	GAS	KVB	38	100.0	50.0	100	G4	1076	0.0	0.0	
	Liander N.V. (NW)	Krommeniestraat	1013XH	1013XP	AMSTERDAM	ELK	KVB	23	100.0	91.3	74	1x35	5043	8.7	0.0	1.0
	GAS Liander	Krommeniestraat	1013XL	1013XP	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	962	0.0	0.0	
	Liander N.V. (NW)	Spaarndammerplantsoen	1013XR	1013XR	AMSTERDAM	ELK	KVB	29	100.0	100.0	86	1x35	2617	13.79	10.34	1.0
	GAS Liander	Spaarndammerplantsoen	1013XR	1013XR	AMSTERDAM	GAS	KVB	28	100.0	100.0	100	G4	1062	0.0	7.14	
	GAS Liander	Spaarndammerplantsoen	1013XS	1013XT	AMSTERDAM	GAS	KVB	62	100.0	100.0	100	G4	1160	0.0	72.58	
Liander N.V.	Liander N.V. (NW)	Spaarndammerplantsoen	1013XS	1013XS	AMSTERDAM	ELK	KVB	17	100.0	47.06	47	3x25	2055	29.41	29.41	1.0
Liander N.V.	Liander N.V. (NW)	Spaarndammerplantsoen	1013XT	1013XT	AMSTERDAM	ELK	KVB	71	100.0	81.69	51	1x25	2536	59.15	57.75	1.1
	Liander N.V. (NW)	Zaanhof	1013XV	1013XV	AMSTERDAM	ELK	KVB	27	100.0	100.0	56	1x35	1954	11.11	11.11	1.0
	GAS Liander	Zaanhof	1013XV	1013XV	AMSTERDAM	GAS	KVB	27	100.0	100.0	100	G4	1192	0.0	11.11	
	GAS Liander	Zaanhof	1013XW	1013XW	AMSTERDAM	GAS	KVB	27	100.0	100.0	100	G4	1209	0.0	70.37	
	Liander N.V. (NW)	Zaanhof	1013XW	1013XW	AMSTERDAM	ELK	KVB	28	100.0	100.0	68	1x25	1910	71.43	71.43	1.0
	GAS Liander	Zaanhof	1013XX	1013XX	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1106	0.0	18.18	
	Liander N.V. (NW)	Zaanhof	1013XX	1013XX	AMSTERDAM	ELK	KVB	24	100.0	95.83	58	1x25	1731	20.83	20.83	1.0
	GAS Liander	Zaanhof	1013XZ	1013XZ	AMSTERDAM	GAS	KVB	27	100.0	100.0	100	G4	1360	0.0	14.81	
	Liander N.V. (NW)	Zaanhof	1013XZ	1013XZ	AMSTERDAM	ELK	KVB	28	100.0	100.0	71	1x25	1687	21.43	21.43	1.0
	Liander N.V. (NW)	Zaanhof	1013ZA	1013ZA	AMSTERDAM	ELK	KVB	29	100.0	93.1	48	1x35	1665	10.34	3.45	1.1
Liander N.V.	GAS Liander	Zaanhof	1013ZA	1013ZA	AMSTERDAM	GAS	KVB	27	100.0	92.59	100	G4	1077	0.0	0.0	
	GAS Liander	Zaandammerplein	1013ZB	1013ZB	AMSTERDAM	GAS	KVB	13	100.0	100.0	100	G4	1045	0.0	15.38	
	Liander N.V. (NW)	Zaandammerplein	1013ZB	1013ZB	AMSTERDAM	ELK	KVB	13	100.0	100.0	54	1x35	1579	15.38	15.38	1.0
	GAS Liander	Zaandammerplein	1013ZC	1013ZC	AMSTERDAM	GAS	KVB	16	100.0	100.0	100	G4	1119	0.0	6.25	
	Liander N.V. (NW)	Zaandammerplein	1013ZC	1013ZC	AMSTERDAM	ELK	KVB	16	100.0	100.0	75	1x25	1566	6.25	6.25	1.0
Liander N.V.	Liander N.V. (NW)	Zaandammerplein	1013ZD	1013ZD	AMSTERDAM	ELK	KVB	33	100.0	90.91	52	1x25	4948	15.15	6.06	1.1
	GAS Liander	Zaandammerplein	1013ZD	1013ZD	AMSTERDAM	GAS	KVB	29	100.0	100.0	97	G4	2649	0.0	3.45	
Liander N.V.	GAS Liander	Zaandammerplein	1013ZE	1013ZE	AMSTERDAM	GAS	KVB	26	100.0	80.77	81	G4	3581	0.0	7.69	
Liander N.V.	Liander N.V. (NW)	Zaandammerplein	1013ZE	1013ZE	AMSTERDAM	ELK	KVB	38	100.0	60.53	37	1x35	2655	10.53	5.26	1.0
Liander N.V.	Liander N.V. (NW)	Zaandammerplein	1013ZG	1013ZG	AMSTERDAM	ELK	KVB	36	100.0	47.22	47	3x25	1421	8.33	2.78	1.0
Liander N.V.	GAS Liander	Zaandammerplein	1013ZG	1013ZG	AMSTERDAM	GAS	KVB	30	100.0	56.67	57	G4	693	0.0	3.33	
Liander N.V.	GAS Liander	Zaandammerplein	1013ZH	1013ZH	AMSTERDAM	GAS	KVB	24	100.0	75.0	75	G4	2469	0.0	25.0	
Liander N.V.	Liander N.V. (NW)	Zaandammerplein	1013ZH	1013ZH	AMSTERDAM	ELK	KVB	25	100.0	76.0	40	1x25	2923	32.0	28.0	1.0
	Liander N.V. (NW)	Zaandammerplein	1013ZJ	1013ZJ	AMSTERDAM	ELK	KVB	16	100.0	100.0	63	1x35	2417	12.5	12.5	1.0
	GAS Liander	Zaandammerplein	1013ZJ	1013ZJ	AMSTERDAM	GAS	KVB	16	100.0	100.0	100	G4	1252	0.0	12.5	
	GAS Liander	Zaandammerplein	1013ZK	1013ZK	AMSTERDAM	GAS	KVB	32	100.0	96.88	100	G4	1218	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Zaandammerplein	1013ZK	1013ZK	AMSTERDAM	ELK	KVB	36	100.0	88.89	58	1x25	2628	5.56	0.0	1.0
	GAS Liander	Uitgeeststraat	1013ZL	1013ZL	AMSTERDAM	GAS	KVB	13	100.0	100.0	100	G4	893	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Uitgeeststraat	1013ZL	1013ZL	AMSTERDAM	ELK	KVB	23	100.0	65.22	57	1x35	3698	13.04	8.7	1.1
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZM	1013ZM	AMSTERDAM	GAS	KVB	50	100.0	78.0	96	G4	793	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZM	1013ZM	AMSTERDAM	ELK	KVB	61	100.0	73.77	49	1x35	2528	9.84	4.92	1.1
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZN	1013ZN	AMSTERDAM	GAS	KVB	55	100.0	41.82	100	G4	957	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZN	1013ZN	AMSTERDAM	ELK	KVB	62	100.0	43.55	53	3x25	2167	0.0	0.0	1.0
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZP	1013ZP	AMSTERDAM	GAS	KVB	42	100.0	42.86	100	G4	1031	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZP	1013ZP	AMSTERDAM	ELK	KVB	47	100.0	42.55	51	3x25	2241	2.13	0.0	1.0
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZR	1013ZR	AMSTERDAM	GAS	KVB	46	100.0	47.83	100	G4	922	0.0	2.17	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZR	1013ZR	AMSTERDAM	ELK	KVB	41	100.0	53.66	54	1x35	1693	4.88	2.44	1.0
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZS	1013ZS	AMSTERDAM	ELK	KVB	57	100.0	49.12	51	3x25	2099	8.77	8.77	1.0
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZS	1013ZS	AMSTERDAM	GAS	KVB	30	100.0	83.33	83	G4	969	0.0	16.67	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZT	1013ZT	AMSTERDAM	ELK	KVB	63	100.0	52.38	49	1x35	1975	4.76	0.0	1.1
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZT	1013ZT	AMSTERDAM	GAS	KVB	44	100.0	68.18	68	G4	3607	0.0	0.0	
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZV	1013ZV	AMSTERDAM	GAS	KVB	22	100.0	72.73	77	G4	718	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZV	1013ZV	AMSTERDAM	ELK	KVB	34	100.0	50.0	38	3x25	4254	2.94	0.0	1.0
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZW	1013ZW	AMSTERDAM	ELK	KVB	63	100.0	50.79	49	3x25	1932	0.0	0.0	1.0
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZW	1013ZW	AMSTERDAM	GAS	KVB	62	100.0	50.0	100	G4	1158	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1013ZX	1013ZX	AMSTERDAM	ELK	KVB	66	100.0	50.0	50	3x25	1910	0.0	0.0	1.0
Liander N.V.	GAS Liander	Spaarndammerdijk	1013ZX	1013ZX	AMSTERDAM	GAS	KVB	58	100.0	50.0	100	G4	1121	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Archangelweg	1013ZZ	1014AA	AMSTERDAM	ELK	KVB	23	100.0	60.87	57	3x25	6424	47.83	13.04	1.2
Liander N.V.	GAS Liander	Archangelweg	1013ZZ	1014AD	AMSTERDAM	GAS	KVB	36	100.0	94.44	92	G4	2018	0.0	11.11	
Liander N.V.	Liander N.V. (NW)	Spaarndammerdijk	1014AC	1014AD	AMSTERDAM	ELK	KVB	34	100.0	91.18	56	1x25	3381	17.65	8.82	1.1
	Liander N.V. (NW)	Spaarndammerdijk	1014AE	1014AE	AMSTERDAM	ELK	KVB	20	100.0	95.0	50	1x25	2415	30.0	15.0	1.1
	GAS Liander	Spaarndammerdijk	1014AE	1014AE	AMSTERDAM	GAS	KVB	16	100.0	100.0	81	G4	1559	0.0	18.75	
	GAS Liander	Molenwerf	1014AG	1014AN	AMSTERDAM	GAS	KVB	31	100.0	87.1	48	G4	6152	0.0	3.23	
	Liander N.V. (NW)	Molenwerf	1014AG	1014AG	AMSTERDAM	ELK	KVB	146	100.0	95.89	94	1x35	2159	95.89	93.84	1.3
Liander N.V.	Liander N.V. (NW)	Velserweg	1014AH	1014AJ	AMSTERDAM	ELK	KVB	24	100.0	45.83	42	3x25	7683	25.0	8.33	1.1
Liander N.V.	Liander N.V. (NW)	Transformatorweg	1014AK	1014AK	AMSTERDAM	ELK	KVB	21	100.0	42.86	57	3x25	5371	38.1	14.29	2.0
Liander N.V.	Liander N.V. (NW)	Basisweg	1014AM	1014AN	AMSTERDAM	ELK	KVB	38	100.0	57.89	37	3x25	8125	28.95	5.26	1.5
Liander N.V.	Liander N.V. (NW)	Elektronstraat	1014AP	1014AP	AMSTERDAM	ELK	KVB	11	100.0	36.36	64	3x25	11491	63.64	0.0	1.7
	GAS Liander	Elektronstraat	1014AP	1014AP	AMSTERDAM	GAS	KVB	12	100.0	66.67	33	G4	6452	0.0	0.0	
	Liander N.V. (NW)	Elementenstraat	1014AR	1014AR	AMSTERDAM	ELK	KVB	16	100.0	87.5	44	3x25	12569	50.0	25.0	1.5
	GAS Liander	Elementenstraat	1014AR	1014AR	AMSTERDAM	GAS	KVB	17	100.0	94.12	41	G16	6310	0.0	17.65	
Liander N.V.	Liander N.V. (NW)	Isolatorweg	1014AS	1014AS	AMSTERDAM	ELK	KVB	27	100.0	55.56	33	3x25	14088	48.15	18.52	1.7
	GAS Liander	Isolatorweg	1014AS	1014AS	AMSTERDAM	GAS	KVB	13	100.0	76.92	38	G6	5596	0.0	23.08	
	Liander N.V. (NW)	Turbinestraat	1014AV	1014AV	AMSTERDAM	ELK	KVB	13	92.31	84.62	23	3x63	15955	61.54	38.46	1.8
Liander N.V.	Liander N.V. (NW)	Schakelstraat	1014AW	1014AW	AMSTERDAM	ELK	KVB	21	100.0	90.48	43	3x25	13357	76.19	57.14	1.7
Liander N.V.	Liander N.V. (NW)	Condensatorweg	1014AX	1014AX	AMSTERDAM	ELK	KVB	21	100.0	42.86	52	3x25	14099	19.05	0.0	1.4
	GAS Liander	Condensatorweg	1014AX	1014BB	AMSTERDAM	GAS	KVB	17	100.0	100.0	35	G16	7666	0.0	17.65	
	Liander N.V. (NW)	Overbrakerpad	1014AZ	1014BA	AMSTERDAM	ELK	KVB	19	100.0	52.63	53	3x25	5410	42.11	10.53	1.8
	Liander N.V. (NW)	Kabelweg	1014BB	1014BB	AMSTERDAM	ELK	KVB	12	100.0	75.0	25	3x80	15961	58.33	16.67	1.7
	GAS Liander	Kabelweg	1014BC	1015AA	AMSTERDAM	GAS	KVB	73	100.0	89.04	36	G4	9221	0.0	20.55	
Liander N.V.	Liander N.V. (NW)	Kabelweg	1014BC	1014BE	AMSTERDAM	ELK	KVB	37	100.0	43.24	51	3x25	7282	40.54	8.11	1.7
	Liander N.V. (NW)	Molenwerf	1014BG	1014BG	AMSTERDAM	ELK	KVB	49	100.0	100.0	100	1x35	1965	100.0	100.0	
Liander N.V.	Liander N.V. (NW)	Contactweg	1014BH	1014DA	AMSTERDAM	ELK	KVB	59	96.61	59.32	31	3x25	25292	42.37	20.34	1.4
Liander N.V.	Liander N.V. (NW)	Pazzanistraat	1014DB	1014DC	AMSTERDAM	ELK	KVB	17	94.12	70.59	41	3x25	18196	41.18	23.53	1.4
	Liander N.V. (NW)	Klonne plein	1014DD	1014ZB	AMSTERDAM	ELK	KVB	47	63.83	82.98	79	3x25	4050	91.49	76.6	1.0
	Liander N.V. (NW)	Singel	1015AA	1015AA	AMSTERDAM	ELK	KVB	32	100.0	93.75	78	3x25	5005	40.63	21.88	1.3
Liander N.V.	Liander N.V. (NW)	Singel	1015AB	1015AB	AMSTERDAM	ELK	KVB	46	97.83	95.65	52	1x35	5366	13.04	6.52	1.1
Liander N.V.	GAS Liander	Singel	1015AB	1015AB	AMSTERDAM	GAS	KVB	42	100.0	95.24	76	G4	2848	0.0	7.14	
	GAS Liander	Singel	1015AC	1015AC	AMSTERDAM	GAS	KVB	34	100.0	85.29	82	G4	2286	0.0	41.18	
	Liander N.V. (NW)	Singel	1015AC	1015AC	AMSTERDAM	ELK	KVB	41	100.0	82.93	49	1x35	4685	60.98	36.59	1.2
	GAS Liander	Singel	1015AD	1015AD	AMSTERDAM	GAS	KVB	37	100.0	97.3	68	G4	2064	0.0	21.62	
	Liander N.V. (NW)	Singel	1015AD	1015AD	AMSTERDAM	ELK	KVB	44	100.0	93.18	41	3x25	3922	31.82	22.73	1.1
	GAS Liander	Singel	1015AE	1015AE	AMSTERDAM	GAS	KVB	26	100.0	84.62	69	G4	3088	0.0	57.69	
	Liander N.V. (NW)	Singel	1015AE	1015AE	AMSTERDAM	ELK	KVB	30	100.0	86.67	47	3x25	3583	56.67	56.67	1.0
	GAS Liander	Singel	1015AG	1015AG	AMSTERDAM	GAS	KVB	26	100.0	96.15	77	G4	3049	0.0	42.31	
	Liander N.V. (NW)	Singel	1015AG	1015AG	AMSTERDAM	ELK	KVB	29	100.0	96.55	55	3x25	8672	65.52	41.38	1.4
	Liander N.V. (NW)	Singel	1015AH	1015AH	AMSTERDAM	ELK	KVB	23	100.0	95.65	39	3x25	6751	78.26	69.57	1.2
	GAS Liander	Singel	1015AH	1015AH	AMSTERDAM	GAS	KVB	18	100.0	88.89	50	G4	3667	0.0	66.67	
Liander N.V.	Liander N.V. (NW)	Singel	1015AJ	1015AJ	AMSTERDAM	ELK	KVB	20	100.0	95.0	75	1x35	4378	50.0	50.0	1.0
	GAS Liander	Singel	1015AJ	1015AJ	AMSTERDAM	GAS	KVB	17	100.0	100.0	94	G4	1280	0.0	52.94	
Liander N.V.	Liander N.V. (NW)	Langestraat	1015AK	1015AK	AMSTERDAM	ELK	KVB	74	100.0	90.54	46	1x35	2350	79.73	77.03	1.2
	GAS Liander	Langestraat	1015AK	1015AK	AMSTERDAM	GAS	KVB	60	100.0	100.0	92	G4	1353	0.0	81.67	
Liander N.V.	GAS Liander	Langestraat	1015AL	1015AL	AMSTERDAM	GAS	KVB	28	100.0	85.71	100	G4	1045	0.0	71.43	
Liander N.V.	Liander N.V. (NW)	Langestraat	1015AL	1015AL	AMSTERDAM	ELK	KVB	33	100.0	81.82	45	3x25	1552	69.7	69.7	1.5
	GAS Liander	Langestraat	1015AM	1015AM	AMSTERDAM	GAS	KVB	36	100.0	94.44	92	G4	1278	0.0	69.44	
Liander N.V.	Liander N.V. (NW)	Langestraat	1015AM	1015AM	AMSTERDAM	ELK	KVB	44	100.0	93.18	66	1x35	3866	77.27	72.73	1.3
Liander N.V.	Liander N.V. (NW)	Roomolenstraat	1015AN	1015AN	AMSTERDAM	ELK	KVB	24	100.0	87.5	54	1x35	2866	95.83	87.5	
	GAS Liander	Roomolenstraat	1015AN	1015AN	AMSTERDAM	GAS	KVB	21	100.0	95.24	90	G4	1830	0.0	61.9	
	GAS Liander	Korsjespoortsteeg	1015AP	1015AP	AMSTERDAM	GAS	KVB	14	100.0	92.86	86	G4	1944	0.0	85.71	
Liander N.V.	Liander N.V. (NW)	Korsjespoortsteeg	1015AP	1015AP	AMSTERDAM	ELK	KVB	23	100.0	65.22	48	1x35	3388	65.22	65.22	
	GAS Liander	Korsjespoortsteeg	1015AR	1015AR	AMSTERDAM	GAS	KVB	14	100.0	85.71	93	G4	1715	0.0	78.57	
Liander N.V.	Liander N.V. (NW)	Korsjespoortsteeg	1015AR	1015AR	AMSTERDAM	ELK	KVB	18	100.0	77.78	56	3x25	2648	66.67	72.22	1.0
	Liander N.V. (NW)	Blauwburgwal	1015AS	1015AS	AMSTERDAM	ELK	KVB	16	100.0	100.0	31	1x25	2446	31.25	31.25	1.1
	GAS Liander	Blauwburgwal	1015AS	1015AS	AMSTERDAM	GAS	KVB	14	100.0	100.0	100	G4	1462	0.0	28.57	
Liander N.V.	GAS Liander	Blauwburgwal	1015AT	1015AT	AMSTERDAM	GAS	KVB	19	100.0	94.74	79	G4	1484	0.0	5.26	
	Liander N.V. (NW)	Blauwburgwal	1015AT	1015AT	AMSTERDAM	ELK	KVB	20	100.0	100.0	75	1x25	2344	10.0	5.0	1.1
	GAS Liander	Bergstraat	1015AV	1015AV	AMSTERDAM	GAS	KVB	18	100.0	72.22	83	G4	2171	0.0	72.22	
	Liander N.V. (NW)	Bergstraat	1015AV	1015AV	AMSTERDAM	ELK	KVB	18	100.0	77.78	61	3x25	5786	72.22	77.78	3.0
	GAS Liander	Oude Leliestraat	1015AW	1015AW	AMSTERDAM	GAS	KVB	14	100.0	100.0	93	G4	1424	0.0	28.57	
	Liander N.V. (NW)	Oude Leliestraat	1015AW	1015AW	AMSTERDAM	ELK	KVB	14	100.0	100.0	50	3x25	4115	50.0	28.57	1.4
Liander N.V.	Liander N.V. (NW)	Herengracht AB	1015AX	1015AZ	AMSTERDAM	ELK	KVB	22	100.0	72.73	45	1x35	2942	22.73	22.73	1.0
Liander N.V.	GAS Liander	Prinsengracht AB	1015AZ	1015AZ	AMSTERDAM	GAS	KVB	17	100.0	76.47	94	G4	1568	0.0	23.53	
	Liander N.V. (NW)	Herengracht	1015BA	1015BA	AMSTERDAM	ELK	KVB	24	100.0	87.5	46	1x35	5031	91.67	87.5	
	GAS Liander	Herengracht	1015BA	1015BA	AMSTERDAM	GAS	KVB	23	100.0	86.96	70	G4	2669	0.0	82.61	
	GAS Liander	Herengracht	1015BB	1015BB	AMSTERDAM	GAS	KVB	24	100.0	95.83	92	G4	1693	0.0	91.67	
	Liander N.V. (NW)	Herengracht	1015BB	1015BB	AMSTERDAM	ELK	KVB	28	100.0	92.86	61	1x35	3446	89.29	85.71	1.0
	GAS Liander	Herengracht	1015BC	1015BC	AMSTERDAM	GAS	KVB	17	100.0	100.0	71	G4	2977	0.0	76.47	
	Liander N.V. (NW)	Herengracht	1015BC	1015BC	AMSTERDAM	ELK	KVB	18	100.0	100.0	50	3x25	5677	77.78	77.78	1.3
Liander N.V.	GAS Liander	Herengracht	1015BD	1015BD	AMSTERDAM	GAS	KVB	20	100.0	95.0	50	G6	2534	0.0	90.0	
Liander N.V.	Liander N.V. (NW)	Herengracht	1015BD	1015BD	AMSTERDAM	ELK	KVB	23	100.0	91.3	39	1x35	5803	86.96	86.96	1.0
	Liander N.V. (NW)	Herengracht	1015BE	1015BE	AMSTERDAM	ELK	KVB	31	100.0	96.77	52	3x25	8826	48.39	38.71	1.2
	GAS Liander	Herengracht	1015BE	1015BE	AMSTERDAM	GAS	KVB	25	100.0	100.0	64	G4	4466	0.0	36.0	
	GAS Liander	Herengracht	1015BG	1015BG	AMSTERDAM	GAS	KVB	28	100.0	96.43	89	G4	2353	0.0	21.43	
Liander N.V.	Liander N.V. (NW)	Herengracht	1015BG	1015BG	AMSTERDAM	ELK	KVB	38	100.0	84.21	53	3x25	8987	21.05	21.05	1.0
	GAS Liander	Herengracht	1015BH	1015BH	AMSTERDAM	GAS	KVB	17	100.0	100.0	76	G4	3587	0.0	11.76	
	Liander N.V. (NW)	Herengracht	1015BH	1015BH	AMSTERDAM	ELK	KVB	20	100.0	100.0	60	1x25	5219	25.0	10.0	1.2
Liander N.V.	Liander N.V. (NW)	Herengracht	1015BJ	1015BJ	AMSTERDAM	ELK	KVB	15	100.0	86.67	47	3x25	3787	46.67	33.33	1.3
	GAS Liander	Herengracht	1015BJ	1015BJ	AMSTERDAM	GAS	KVB	13	100.0	92.31	69	G4	2219	0.0	30.77	
	Liander N.V. (NW)	Herengracht	1015BK	1015BK	AMSTERDAM	ELK	KVB	38	100.0	94.74	68	3x25	4096	7.89	5.26	1.1
Liander N.V.	GAS Liander	Herengracht	1015BK	1015BK	AMSTERDAM	GAS	KVB	32	100.0	93.75	84	G4	2191	0.0	3.13	
Liander N.V.	GAS Liander	Herengracht	1015BL	1015BL	AMSTERDAM	GAS	KVB	19	100.0	89.47	47	G4	2887	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Herengracht	1015BL	1015BL	AMSTERDAM	ELK	KVB	24	100.0	75.0	54	3x25	7402	8.33	0.0	1.1
	GAS Liander	Herengracht	1015BM	1015BM	AMSTERDAM	GAS	KVB	13	100.0	100.0	62	G4	2336	0.0	0.0	
	Liander N.V. (NW)	Herengracht	1015BM	1015BM	AMSTERDAM	ELK	KVB	14	100.0	100.0	57	3x25	3367	21.43	0.0	1.2
	Liander N.V. (NW)	Herengracht	1015BN	1015BN	AMSTERDAM	ELK	KVB	27	100.0	96.3	78	3x25	3792	51.85	51.85	1.0
	GAS Liander	Herengracht	1015BN	1015BN	AMSTERDAM	GAS	KVB	11	100.0	100.0	73	G4	3760	0.0	45.45	
Liander N.V.	Liander N.V. (NW)	Herengracht	1015BP	1015BP	AMSTERDAM	ELK	KVB	23	100.0	56.52	74	3x25	3129	8.7	0.0	1.1
	GAS Liander	Herengracht	1015BP	1015BP	AMSTERDAM	GAS	KVB	11	100.0	100.0	55	G6	3113	0.0	0.0	
	GAS Liander	Herengracht	1015BR	1015BR	AMSTERDAM	GAS	KVB	19	100.0	94.74	58	G4	3491	0.0	42.11	
	Liander N.V. (NW)	Herengracht	1015BR	1015BR	AMSTERDAM	ELK	KVB	23	100.0	95.65	43	3x25	4625	47.83	43.48	1.1
	Liander N.V. (NW)	Herengracht	1015BS	1015BS	AMSTERDAM	ELK	KVB	73	100.0	97.26	56	3x25	5013	28.77	8.22	1.2
	GAS Liander	Herengracht	1015BS	1015BS	AMSTERDAM	GAS	KVB	62	100.0	96.77	90	G4	1947	0.0	6.45	
	GAS Liander	Herengracht	1015BT	1015BT	AMSTERDAM	GAS	KVB	31	100.0	96.77	71	G4	3041	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Herengracht	1015BT	1015BT	AMSTERDAM	ELK	KVB	40	100.0	85.0	40	3x25	5599	17.5	2.5	1.1
	Liander N.V. (NW)	Herengracht	1015BV	1015BX	AMSTERDAM	ELK	KVB	35	100.0	91.43	37	3x25	6792	42.86	22.86	1.3
	GAS Liander	Herengracht	1015BV	1015BX	AMSTERDAM	GAS	KVB	34	100.0	94.12	56	G4	2232	0.0	20.59	
	Liander N.V. (NW)	Herenstraat	1015BZ	1015BZ	AMSTERDAM	ELK	KVB	32	100.0	100.0	56	1x25	4416	31.25	12.5	1.3
	GAS Liander	Herenstraat	1015BZ	1015BZ	AMSTERDAM	GAS	KVB	27	100.0	100.0	93	G4	621	0.0	14.81	
Liander N.V.	Liander N.V. (NW)	Herenstraat	1015CA	1015CA	AMSTERDAM	ELK	KVB	32	100.0	87.5	53	3x25	5687	34.38	28.13	1.1
	GAS Liander	Herenstraat	1015CA	1015CA	AMSTERDAM	GAS	KVB	25	100.0	96.0	92	G4	1068	0.0	28.0	
	GAS Liander	Herenstraat	1015CB	1015CB	AMSTERDAM	GAS	KVB	30	100.0	90.0	87	G4	1634	0.0	6.67	
Liander N.V.	Liander N.V. (NW)	Herenstraat	1015CB	1015CB	AMSTERDAM	ELK	KVB	38	100.0	73.68	32	3x25	5925	21.05	10.53	1.2
	GAS Liander	Keizersgracht	1015CC	1015CC	AMSTERDAM	GAS	KVB	14	100.0	100.0	79	G4	2357	0.0	28.57	
