MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	17	100	94,12	100	G4	1276	0	0		CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	17	100	100	100	G4	1135	0	0		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	18	100	100	83	1x25	1739	0	0	1,1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	13	100	100	100	G4	1079	0	0		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	15	100	93,33	53	1x25	2502	0	0	1	CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	19	100	100	68	1x25	2329	0	0	1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	19	100	100	95	G4	988	0	0		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	22	81,82	86,36	59	1x25	2415	22,73	22,73	1,1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	19	100	100	95	G4	1199	0	21,05		CENTRUM
	Liander N.V. (NW)	Lastageweg	1011	1011	ELK	KVB	10	100	100	90	1x25	4311	10	0	1,1	CENTRUM
	GAS Liander	Lastageweg	1011	1011	GAS	KVB	109	100	97,25	98	G4	864	0	88,99		CENTRUM
	Liander N.V. (NW)	J.W. Siebbeleshof	1011	1011	ELK	KVB	126	100	97,62	90	1x35	4130	97,62	96,83	2	CENTRUM
	Liander N.V. (NW)	W Frederik Hermansstr	1011	1011	ELK	KVB	87	100	98,85	93	1x35	3358	100	98,85		CENTRUM
	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	46	100	95,65	85	G4	1739	0	26,09		CENTRUM
Liander N.V.	Liander N.V. (NW)	Dijkdwarsstraat	1011	1011	ELK	KVB	52	100	80,77	69	1x25	2946	26,92	21,15	1,1	CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	24	100	100	83	1x25	1575	58,33	58,33	1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	21	100	100	100	G4	896	0	57,14		CENTRUM
Liander N.V.	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	18	100	88,89	67	G4	2565	0	5,56		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	14	100	100	86	1x25	1859	14,29	14,29	1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	12	100	100	92	G4	1073	0	0		CENTRUM
	Liander N.V. (NW)	Montelbaanstraat	1011	1011	ELK	KVB	16	100	100	100	1x25	1841	0	0	1	CENTRUM
	GAS Liander	Montelbaanstraat	1011	1011	GAS	KVB	16	100	100	100	G4	894	0	0		CENTRUM
	GAS Liander	Montelbaanstraat	1011	1011	GAS	KVB	21	100	100	95	G4	2917	0	0		CENTRUM
