MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BB	1011BC	ELK	KVB	24	100.0	95.83	58	1x35	3404	50.0	41.67	1.2
	GAS Liander	Kalkmarkt	1011BD	1011BD	GAS	KVB	20	100.0	95.0	90	G4	2069	0.0	65.0	
Liander N.V.	Liander N.V. (NW)	Kalkmarkt	1011BD	1011BD	ELK	KVB	30	93.33	76.67	60	3x25	3490	50.0	46.67	1.1
	GAS Liander	Binnenkant AB	1011BE	1011BG	GAS	KVB	16	100.0	93.75	88	G4	2039	0.0	12.5	
Liander N.V.	Liander N.V. (NW)	Binnenkant AB	1011BE	1011BG	ELK	KVB	28	100.0	71.43	50	1x35	2068	14.29	7.14	1.2
	GAS Liander	Binnenkant	1011BH	1011BH	GAS	KVB	31	100.0	93.55	84	G4	1740	0.0	48.39	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BH	1011BH	ELK	KVB	34	100.0	94.12	50	1x35	2867	52.94	50.0	1.1
	GAS Liander	Binnenkant	1011BJ	1011BJ	GAS	KVB	16	100.0	100.0	69	G4	3494	0.0	25.0	
	Liander N.V. (NW)	Binnenkant	1011BK	1011BK	ELK	KVB	16	100.0	100.0	50	1x35	2307	12.5	12.5	1.0
	GAS Liander	Binnenkant	1011BK	1011BK	GAS	KVB	14	100.0	92.86	86	G4	1505	0.0	14.29	
	GAS Liander	Binnenkant	1011BL	1011BM	GAS	KVB	20	100.0	100.0	85	G4	1335	0.0	20.0	
	Liander N.V. (NW)	Binnenkant	1011BL	1011BM	ELK	KVB	23	100.0	95.65	87	1x35	2004	30.43	21.74	1.2
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BN	1011BN	ELK	KVB	21	100.0	71.43	67	3x25	3051	19.05	19.05	1.0
	GAS Liander	Binnenkant	1011BN	1011BN	GAS	KVB	15	100.0	86.67	73	G4	1495	0.0	26.67	
Liander N.V.	GAS Liander	Binnenkant	1011BP	1011BP	GAS	KVB	15	100.0	93.33	87	G4	2465	0.0	6.67	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BP	1011BP	ELK	KVB	18	100.0	88.89	78	3x25	2845	16.67	5.56	1.4
	Liander N.V. (NW)	Binnenkant	1011BR	1011BR	ELK	KVB	15	100.0	100.0	67	1x35	1765	20.0	13.33	1.2
	GAS Liander	Binnenkant	1011BR	1011BR	GAS	KVB	11	100.0	100.0	100	G4	1574	0.0	9.09	
Liander N.V.	GAS Liander	Kromme Waal	1011BS	1011BS	GAS	KVB	28	100.0	75.0	71	G4	1985	0.0	46.43	
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BS	1011BS	ELK	KVB	29	100.0	79.31	62	3x25	2753	48.28	44.83	1.2
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BT	1011BT	ELK	KVB	31	96.77	93.55	48	3x25	2314	45.16	45.16	1.1
Liander N.V.	GAS Liander	Kromme Waal	1011BT	1011BT	GAS	KVB	27	100.0	96.3	89	G4	1499	0.0	44.44	
	Liander N.V. (NW)	Kromme Waal	1011BV	1011BV	ELK	KVB	23	100.0	65.22	61	3x25	2324	56.52	52.17	1.0
	GAS Liander	Kromme Waal	1011BV	1011BV	GAS	KVB	21	100.0	66.67	67	G4	1635	0.0	57.14	
	Liander N.V. (NW)	Kromme Waal	1011BW	1011BW	ELK	KVB	33	100.0	96.97	64	1x25	2256	72.73	72.73	1.0
	GAS Liander	Kromme Waal	1011BW	1011BW	GAS	KVB	27	100.0	100.0	100	G4	1016	0.0	74.07	
